City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
281,Nouakchott,MR,18.0858,-15.9785,93.13,81,56,13.11,broken clouds
282,Acarau,BR,-2.8856,-40.12,79.32,85,2,15.73,clear sky
283,Wladyslawowo,PL,54.7909,18.4009,61.93,82,100,13.96,moderate rain
284,Te Anau,NZ,-45.4167,167.7167,44.94,88,81,5.3,broken clouds
285,Petropavl,KZ,54.8753,69.1628,58.98,72,75,8.95,broken clouds
286,Nikolskoye,RU,59.7035,30.7861,44.02,89,100,4.05,overcast clouds
287,Urubicha,BO,-15.3833,-62.95,77.29,51,4,2.1,clear sky
288,Gamboula,CF,4.1178,15.1393,67.69,97,98,2.24,light rain
289,Cockburn Town,TC,21.4612,-71.1419,83.46,80,100,15.86,overcast clouds
290,Salinas,US,36.6777,-121.6555,74.16,75,90,14.97,overcast clouds
291,Spearfish,US,44.4908,-103.8594,75.42,31,1,5.75,clear sky
292,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.35,87,77,4.7,broken clouds
293,Dillon,US,34.4166,-79.3712,75.92,90,99,6.6,overcast clouds
294,Patacamaya,BO,-17.2333,-67.9167,46.24,79,100,4.85,overcast clouds
295,Ballina,AU,-28.8667,153.5667,69.78,63,35,18.41,scattered clouds
296,Mananjary,MG,-21.2167,48.3333,66.96,90,7,5.79,clear sky
297,Sandviken,SE,60.6167,16.7667,42.44,96,100,2.71,overcast clouds
298,Semey,KZ,50.4111,80.2275,44.82,76,0,8.95,clear sky
299,Lorengau,PG,-2.0226,147.2712,76.68,88,100,8.03,light rain
300,Singapore,SG,1.2897,103.8501,84.15,77,75,4.61,broken clouds
301,Araouane,ML,18.9048,-3.5265,91.87,30,80,6.71,broken clouds
302,Ancud,CL,-41.8697,-73.8203,49.42,86,100,14.03,overcast clouds
303,Huron,US,41.1501,-82.5499,65.32,89,0,4.41,clear sky
304,Piney Green,US,34.716,-77.3202,80.91,93,1,0.0,clear sky
305,Klaksvik,FO,62.2266,-6.589,49.12,79,90,5.01,overcast clouds
306,Kralendijk,BQ,12.15,-68.2667,84.18,79,0,14.97,clear sky
307,Aksarka,RU,66.5606,67.7975,40.75,91,90,10.63,overcast clouds
308,Muisne,EC,0.6,-80.0333,74.37,89,100,8.72,light rain
309,Praia,CV,14.9215,-23.5087,81.14,89,75,10.36,broken clouds
310,Olinda,BR,-8.0089,-34.8553,76.73,73,40,11.5,scattered clouds
311,Kieta,PG,-6.2167,155.6333,84.94,65,98,6.51,overcast clouds
312,Lensk,RU,60.7253,114.9278,41.05,88,99,7.61,overcast clouds
313,Esil,KZ,51.9556,66.4042,63.45,48,100,19.06,overcast clouds
314,Asau,RO,46.4333,26.4,56.95,93,42,4.12,scattered clouds
